carrier_code,name_cn,name_en,valid_from,valid_to,service_class,service_class_cn,service_class_en,service_class_display,cabins,mileage_rate,segment_credit,validity_cn,notes_cn,ffp_status,current_accrual_eligible,risk_level,status_note_cn,source_registry,source_refs,source_url_reference,ai_assisted_notice
VN,越南航空,Vietnam Airlines,2024-06-01,,business,公务舱,Business Class,公务舱 / Business Class,J/C,1.5,0,旅行日期 2024年6月1日(含)起,,active_ffp_partner,True,low,越南航空为工作库标记为可累积参考合作伙伴。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
VN,越南航空,Vietnam Airlines,2024-06-01,,business,公务舱,Business Class,公务舱 / Business Class,D,1.25,0,旅行日期 2024年6月1日(含)起,,active_ffp_partner,True,low,越南航空为工作库标记为可累积参考合作伙伴。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
VN,越南航空,Vietnam Airlines,2024-06-01,,premium_economy,超级经济舱,Premium Economy,超级经济舱 / Premium Economy,W,1.2,0,旅行日期 2024年6月1日(含)起,,active_ffp_partner,True,low,越南航空为工作库标记为可累积参考合作伙伴。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
VN,越南航空,Vietnam Airlines,2024-06-01,,premium_economy,超级经济舱,Premium Economy,超级经济舱 / Premium Economy,Z/U,1.1,0,旅行日期 2024年6月1日(含)起,,active_ffp_partner,True,low,越南航空为工作库标记为可累积参考合作伙伴。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
VN,越南航空,Vietnam Airlines,2024-06-01,,economy,经济舱,Economy Class,经济舱 / Economy Class,Y/B/M,1.0,0,旅行日期 2024年6月1日(含)起,,active_ffp_partner,True,low,越南航空为工作库标记为可累积参考合作伙伴。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
VN,越南航空,Vietnam Airlines,2024-06-01,,economy,经济舱,Economy Class,经济舱 / Economy Class,S/H/K,0.65,0,旅行日期 2024年6月1日(含)起,,active_ffp_partner,True,low,越南航空为工作库标记为可累积参考合作伙伴。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
VN,越南航空,Vietnam Airlines,2024-06-01,,economy,经济舱,Economy Class,经济舱 / Economy Class,Q/N/R/T/E,0.25,0,旅行日期 2024年6月1日(含)起,,active_ffp_partner,True,low,越南航空为工作库标记为可累积参考合作伙伴。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
BA,英国航空,British Airways,2023-04-01,,first,头等舱,First Class,头等舱 / First Class,F/A,1.5,0,旅行日期 2023年4月1日(含)起,,active_ffp_partner,True,low,英航为工作库标记为可累积参考合作伙伴。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
BA,英国航空,British Airways,2023-04-01,,business,公务舱,Business Class,公务舱 / Business Class,J/C/D/R,1.25,0,旅行日期 2023年4月1日(含)起,,active_ffp_partner,True,low,英航为工作库标记为可累积参考合作伙伴。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
BA,英国航空,British Airways,2023-04-01,,business,公务舱,Business Class,公务舱 / Business Class,I,1.0,0,旅行日期 2023年4月1日(含)起,,active_ffp_partner,True,low,英航为工作库标记为可累积参考合作伙伴。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
BA,英国航空,British Airways,2023-04-01,,premium_economy,超级经济舱,Premium Economy,超级经济舱 / Premium Economy,W/E/T,1.0,0,旅行日期 2023年4月1日(含)起,,active_ffp_partner,True,low,英航为工作库标记为可累积参考合作伙伴。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
BA,英国航空,British Airways,2023-04-01,,economy,经济舱,Economy Class,经济舱 / Economy Class,Y/B/H,1.0,0,旅行日期 2023年4月1日(含)起,,active_ffp_partner,True,low,英航为工作库标记为可累积参考合作伙伴。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
BA,英国航空,British Airways,2023-04-01,,economy,经济舱,Economy Class,经济舱 / Economy Class,K/L/M/V/S/N,0.4,0,旅行日期 2023年4月1日(含)起,,active_ffp_partner,True,low,英航为工作库标记为可累积参考合作伙伴。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
BA,英国航空,British Airways,2023-04-01,,economy,经济舱,Economy Class,经济舱 / Economy Class,O/Q/G,0.25,0,旅行日期 2023年4月1日(含)起,,active_ffp_partner,True,low,英航为工作库标记为可累积参考合作伙伴。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
KE,大韩航空,Korean Air,2026-04-01,,first,头等舱,First Class,头等舱 / First Class,F,1.5,1,旅行日期 2026年4月1日(含)起,,active_ffp_partner,True,low,大韩航空为工作库标记为可累积参考合作伙伴；工作表显示2026-04-01起。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
KE,大韩航空,Korean Air,2026-04-01,,business,公务舱,Business Class,公务舱 / Business Class,J/C/D/I/R,1.3,2,旅行日期 2026年4月1日(含)起,,active_ffp_partner,True,low,大韩航空为工作库标记为可累积参考合作伙伴；工作表显示2026-04-01起。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
