code,ffp_status,current_accrual_eligible,risk_level,relation_hint,status_note_cn,source,source_registry,source_refs,source_url_reference,ai_assisted_notice
3U,active_ffp_partner,True,medium,current_partner,四川航空为工作库标记为可累积参考合作伙伴；需注意：四川航空仅能累积国内航班（不含港澳台地区航班）。,manual_2026_working_library,data/data_sources_2026.json,SRC-002 / SRC-003 / SRC-006,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
6E,codeshare_or_elite_only_unknown_ffp,False,medium,codeshare_or_hint,印度靛蓝航空作为代码共享/精英权益/输入提示候选保留；不代表当前参考可累积南航定级里程或航段。,manual_2026_working_library,data/data_sources_2026.json,SRC-002 / SRC-003 / SRC-006,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
AA,active_ffp_partner,True,low,current_partner,美航为工作库标记为可累积参考合作伙伴，F/A 舱定级航段按 2 段处理。,manual_2026_working_library,data/data_sources_2026.json,SRC-002 / SRC-003 / SRC-006,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
AE,adjusted_or_expired,False,high,legacy_partner,华信航空与CI同列，工作库中历史/过渡表有效期至2025-12-31；2026以后默认不自动计入。,manual_2026_working_library,data/data_sources_2026.json,SRC-002 / SRC-003 / SRC-006,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
AF,legacy_skyteam_verify_required,False,verify_required,legacy_skyteam,法国航空属于历史天合/历史合作语境中可能出现的航司；2025-2026工作库中默认不作为当前南航明珠可累积合作伙伴。代码共享情况需另行核对。,manual_2026_working_library,data/data_sources_2026.json,SRC-002 / SRC-003 / SRC-006,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
AM,legacy_skyteam_verify_required,False,verify_required,legacy_skyteam,墨西哥航空属于历史天合/历史合作语境中可能出现的航司；2025-2026工作库中默认不作为当前南航明珠可累积合作伙伴。代码共享情况需另行核对。,manual_2026_working_library,data/data_sources_2026.json,SRC-002 / SRC-003 / SRC-006,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
AR,legacy_skyteam_verify_required,False,verify_required,legacy_skyteam,阿根廷航空属于历史天合/历史合作语境中可能出现的航司；2025-2026工作库中默认不作为当前南航明珠可累积合作伙伴。代码共享情况需另行核对。,manual_2026_working_library,data/data_sources_2026.json,SRC-002 / SRC-003 / SRC-006,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
AZ,legacy_skyteam_verify_required,False,verify_required,legacy_skyteam,意大利航空属于历史天合/历史合作语境中可能出现的航司；2025-2026工作库中默认不作为当前南航明珠可累积合作伙伴。代码共享情况需另行核对。,manual_2026_working_library,data/data_sources_2026.json,SRC-002 / SRC-003 / SRC-006,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
BA,active_ffp_partner,True,low,current_partner,英航为工作库标记为可累积参考合作伙伴。,manual_2026_working_library,data/data_sources_2026.json,SRC-002 / SRC-003 / SRC-006,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
CA,codeshare_or_elite_only_unknown_ffp,False,medium,codeshare_or_hint,中国国际航空作为代码共享/精英权益/输入提示候选保留；不代表当前参考可累积南航定级里程或航段。,manual_2026_working_library,data/data_sources_2026.json,SRC-002 / SRC-003 / SRC-006,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
CI,adjusted_or_expired,False,high,legacy_partner,中华航空合作规则在工作库中保留历史/过渡表，但有效期显示至2025-12-31；2026以后默认不自动计入，请按最新公告核对。,manual_2026_working_library,data/data_sources_2026.json,SRC-002 / SRC-003 / SRC-006,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
CZ,self_or_subsidiary,True,low,self,南航明珠主航司；按南航/重航规则处理。,manual_2026_working_library,data/data_sources_2026.json,SRC-002 / SRC-003 / SRC-006,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
DL,legacy_skyteam_verify_required,False,verify_required,legacy_skyteam,达美航空属于历史天合/历史合作语境中可能出现的航司；2025-2026工作库中默认不作为当前南航明珠可累积合作伙伴。代码共享情况需另行核对。,manual_2026_working_library,data/data_sources_2026.json,SRC-002 / SRC-003 / SRC-006,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
EU,active_ffp_partner,True,medium,current_partner,成都航空为工作库标记为可累积参考合作伙伴，需按最新表核对舱位。,manual_2026_working_library,data/data_sources_2026.json,SRC-002 / SRC-003 / SRC-006,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
FM,legacy_skyteam_verify_required,False,verify_required,legacy_skyteam,上海航空属于历史天合/历史合作语境中可能出现的航司；2025-2026工作库中默认不作为当前南航明珠可累积合作伙伴。代码共享情况需另行核对。,manual_2026_working_library,data/data_sources_2026.json,SRC-002 / SRC-003 / SRC-006,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
GA,legacy_skyteam_verify_required,False,verify_required,legacy_skyteam,印尼鹰航属于历史天合/历史合作语境中可能出现的航司；2025-2026工作库中默认不作为当前南航明珠可累积合作伙伴。代码共享情况需另行核对。,manual_2026_working_library,data/data_sources_2026.json,SRC-002 / SRC-003 / SRC-006,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
GJ,codeshare_or_elite_only_unknown_ffp,False,medium,codeshare_or_hint,长龙航空作为代码共享/精英权益/输入提示候选保留；不代表当前参考可累积南航定级里程或航段。,manual_2026_working_library,data/data_sources_2026.json,SRC-002 / SRC-003 / SRC-006,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
GS,codeshare_or_elite_only_unknown_ffp,False,medium,codeshare_or_hint,天津航空作为代码共享/精英权益/输入提示候选保留；不代表当前参考可累积南航定级里程或航段。,manual_2026_working_library,data/data_sources_2026.json,SRC-002 / SRC-003 / SRC-006,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
HO,codeshare_or_elite_only_unknown_ffp,False,medium,codeshare_or_hint,吉祥航空作为代码共享/精英权益/输入提示候选保留；不代表当前参考可累积南航定级里程或航段。,manual_2026_working_library,data/data_sources_2026.json,SRC-002 / SRC-003 / SRC-006,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
