id,name_cn,source_category,url,applies_to,retrieved_or_provided_at,notes_cn
SRC-001,南航会员手册官方页面（2025-2027）,official_public_reference,https://skypearl.csair.com/skypearl/memberShipHandbook.html,cz_rules_2025_2027.json/tier thresholds/retention discounts/cash-spend earning formula/CZ/OQ cabin reference rules,2026-06-10,用于人工核对会员级别、定级里程/航段、奖励里程、现金消费金额、品类系数、会员级别系数、南航航班舱位累积比例等基础规则。公开仓库不附带PDF全文、页面页面材料或大段条款原文。
SRC-002,南航明珠：乘机累积 / 合作伙伴航班页面,official_public_reference,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,cz_partner_accrual_rules_2026.json/cz_carrier_directory_2026.json/partner airline accrual reference entries,2026-06-10,用于人工核对合作伙伴航司累积表。该页面可能为前端路由，页面内容会随南航更新而变化。
SRC-003,南航明珠：合作航司精英权益页面,official_public_reference,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,cz_carrier_directory_2026.json/cz_partner_status_2026.json/codeshare/elite-benefit risk notes,2026-06-10,用于人工核对部分航司是否存在权益/合作展示；该页面不等同于确认常旅客累积资格。
SRC-004,匿名化实际入账样本,anonymized_observation_reference,,cz_codeshare_784_accrual_rules_2026.json/784 codeshare calculation sample,2026-06-10,用于记录一条已匿名化的784票号、CZ/OQ市场方、非CZ/OQ实际承运、U舱入账观察：定级里程约126，定级航段0.75。仅作为样本规则，不推广至其他承运方、舱位或航线。
SRC-005,航空公司里程/积分工具链接人工整理,manual_link_reference,,mileage_tool_links_2026.json/mileage_tool_links_2026.csv,2026-06-10,用于引导使用者自行打开航空公司或公开工具查询标准里程后手动填写。工具链接不代表本项目自动抓取或验证结果。
SRC-006,历史合作状态人工核验规则,manual_status_reference,,cz_partner_status_2026.json/cz_carrier_directory_2026.json,2026-06-10,用于将部分历史合作或历史天合语境中出现的航司标记为需人工核验/默认不建议自动计入。具体合作状态应按南航最新公告、相关航司公告和实际入账确认。
SRC-009,American Airlines First 官方产品页面,official_public_page,https://www.aa.com/i18n/travel-info/experience/seats/first.jsp,service_class_notes_2026/disclaimer_wording,2026-06-10,用于说明 AA First 可为美国国内 First 产品语境。
SRC-010,American Airlines Flagship First International 官方产品页面,official_public_page,https://www.aa.com/i18n/travel-info/experience/seats/flagship-first-international.jsp,service_class_notes_2026/disclaimer_wording,2026-06-10,用于说明 AA Flagship First International 与普通 First 产品命名语境可能不同。
SRC-011,American Airlines Flagship First Transcontinental 官方产品页面,official_public_page,https://www.aa.com/i18n/travel-info/experience/seats/flagship-first-transcontinental.jsp,service_class_notes_2026/disclaimer_wording,2026-06-10,用于说明 AA Flagship First Transcontinental 的路线/机型语境。
SRC-012,American Airlines AAdvantage special fares 页面,official_public_page,https://www.aa.com/i18n/aadvantage-program/miles/earn/special-fares.jsp,service_class_notes_2026/disclaimer_wording,2026-06-10,用于说明 AA 自身语境下 F/A、J/C/R/D/I 等订座舱位分类；不代表南航明珠入账口径。
SRC-013,南航 B777-300ER 明珠经济舱中文页面,official_public_page,https://www.csair.com/sg/zh/tourguide/flight_service/B777/peconomy/,service_class_notes_2026/disclaimer_wording,2026-06-10,用于说明南航中文产品名可显示为明珠经济舱。
SRC-014,China Southern B777-300ER Premium Economy Class English page,official_public_page,https://www.csair.com/tw/en/tourguide/flight_service/B777/peconomy/,service_class_notes_2026/disclaimer_wording,2026-06-10,用于说明南航英文产品名可显示为 Premium Economy Class。
