code,name_cn,name_en,aliases,relation_types,accrual_partner,has_partner_rule,has_codeshare_784_rule,ffp_status,current_accrual_eligible,risk_level,status_note_cn,notes_cn,source,source_registry,source_refs,source_url_reference,ai_assisted_notice
CZ,中国南方航空,China Southern Airlines,南航/China Southern,core_program/marketing_carrier/operating_carrier,True,True,,self_or_subsidiary,True,low,南航明珠主航司；按南航/重航规则处理。,南航明珠主航司；CZ/OQ 与 784 票号适用现金消费金额模式。,csair_member_handbook,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
OQ,重庆航空,Chongqing Airlines,重航/Chongqing Airlines,subsidiary/marketing_carrier/operating_carrier,True,True,,self_or_subsidiary,True,low,重航按南航体系规则处理。,南航体系内航司；按手册与 CZ 一并处理。,csair_member_handbook,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
3U,四川航空,Sichuan Airlines,川航/Sichuan Airlines,sky_pearl_partner/partner_accrual/codeshare_confirmed_with_cz/codeshare_elite_benefit_reference/cz_784_non_cz_operated_candidate,True,True,,active_ffp_partner,True,medium,四川航空为工作库标记为可累积参考合作伙伴；需注意：四川航空仅能累积国内航班（不含港澳台地区航班）。,参考来源曾列出南航与川航代码共享累积范围。；合作航司权益参考页面中出现；若为 784 票号 CZ/OQ 代码但非 CZ/OQ 实际承运，建议使用“784代码共享/非南航承运”模式或手动核对。,skypearl_partner_airlines,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
AA,美国航空,American Airlines,美航/American,sky_pearl_partner/partner_accrual/codeshare_scope_possible/codeshare_elite_benefit_reference/cz_784_non_cz_operated_candidate,True,True,,active_ffp_partner,True,low,美航为工作库标记为可累积参考合作伙伴，F/A 舱定级航段按 2 段处理。,参考来源曾列入南航明珠合作伙伴表；F/A 舱按 2 定级航段处理。；合作航司权益参考页面中出现；若为 784 票号 CZ/OQ 代码但非 CZ/OQ 实际承运，建议使用“784代码共享/非南航承运”模式或手动核对。,skypearl_partner_airlines,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
AE,华信航空,Mandarin Airlines,华信/Mandarin Airlines,sky_pearl_partner/partner_accrual/codeshare_scope_possible,True,True,,adjusted_or_expired,False,high,华信航空与CI同列，工作库中历史/过渡表有效期至2025-12-31；2026以后默认不自动计入。,参考来源曾列入南航明珠合作伙伴表；AE 累积范围需注意航线限制。；当前工作库将其标记为非当前参考可累积/需核对，默认不建议自动计入。,skypearl_partner_airlines,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
AF,法国航空,Air France,法航/Air France,sky_pearl_partner/partner_accrual/codeshare_scope_possible,True,False,,legacy_skyteam_verify_required,False,verify_required,法国航空属于历史天合/历史合作语境中可能出现的航司；2025-2026工作库中默认不作为当前南航明珠可累积合作伙伴。代码共享情况需另行核对。,参考来源曾列入南航明珠英文合作伙伴表；v7 仅作为航司候选，尚未录入详细累积表。；当前工作库将其标记为非当前参考可累积/需核对，默认不建议自动计入。,skypearl_partner_airlines,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
BA,英国航空,British Airways,英航/British Airways,sky_pearl_partner/partner_accrual/codeshare_scope_possible,True,True,,active_ffp_partner,True,low,英航为工作库标记为可累积参考合作伙伴。,参考来源曾列入南航明珠合作伙伴表；BA*/BA 与 BA*/CZ 按表中规则处理。,skypearl_partner_airlines,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
CI,中华航空,China Airlines,华航/China Airlines,sky_pearl_partner/partner_accrual/codeshare_scope_possible/greater_china_cooperation,True,True,,adjusted_or_expired,False,high,中华航空合作规则在工作库中保留历史/过渡表，但有效期显示至2025-12-31；2026以后默认不自动计入，请按最新公告核对。,参考来源曾列入南航明珠合作伙伴表；与 AE 同列。；当前工作库将其标记为非当前参考可累积/需核对，默认不建议自动计入。,skypearl_partner_airlines,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
DL,达美航空,Delta Air Lines,达美/Delta,sky_pearl_partner/partner_accrual/codeshare_scope_possible,True,False,,legacy_skyteam_verify_required,False,verify_required,达美航空属于历史天合/历史合作语境中可能出现的航司；2025-2026工作库中默认不作为当前南航明珠可累积合作伙伴。代码共享情况需另行核对。,参考来源曾列入南航明珠英文合作伙伴表；v7 仅作为航司候选，尚未录入详细累积表。；当前工作库将其标记为非当前参考可累积/需核对，默认不建议自动计入。,skypearl_partner_airlines,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
EU,成都航空,Chengdu Airlines,成都航/Chengdu Airlines,sky_pearl_partner/partner_accrual/codeshare_scope_possible/codeshare_elite_benefit_reference/cz_784_non_cz_operated_candidate,True,True,,active_ffp_partner,True,medium,成都航空为工作库标记为可累积参考合作伙伴，需按最新表核对舱位。,参考来源曾列入南航明珠合作伙伴表；具体舱位与旅行日期以最新表为准。；合作航司权益参考页面中出现；若为 784 票号 CZ/OQ 代码但非 CZ/OQ 实际承运，建议使用“784代码共享/非南航承运”模式或手动核对。,skypearl_partner_airlines,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
